Brand,Model,Screen Size,Resolution,Type,Current Price,Previous Price,Rating,Reviews
Hisense,58R6E3,"58""",4K UHD,LED LCD Roku Smart TV HDR R6 Series,$258.00,$298.00,4.3,14821
Samsung,QN75Q60DBFXZA,"75""",4K,QLED 4K Smart TV Q60DB,"$1,298.00",,4.8,66
TCL,55S451,"55""",4K UHD,HDR Smart Roku TV - 4-Series,$248.00,,4.3,19838
Samsung,UN55DU8000BXZA,"55""",4K,Crystal UHD 4K Smart TV DU8000B,$498.00,,4.6,117
Samsung,QN85LS03BAFXZA,"85""",4K,QLED 4K Smart TV LS03B The Frame,"$2,497.00","$4,297.00",4.5,951
Hisense,40H4030F1,"40""",1080p FHD,LED LCD Roku Smart TV H4030F Series,$138.00,$168.00,4.4,9200
onn.,100012585,"50""",4K UHD,LED Roku Smart Television HDR,$198.00,,4.4,23550
Hisense,58R6E3,"58""",4K UHD,LED LCD Roku Smart TV HDR R6 Series,$258.00,$298.00,4.3,14821
TCL,85S551G,"85""",4K UHD,HDR LED Smart TV with Google TV (NEW 2024),$798.00,"$1,399.99",N/A,N/A
